;id;jogo;resultado;local;adversario;gol_guarani;gol_adversario;data;horario;clima;localidade;campeonato;link
25;2620;Figueirense 2 X 2 GUARANI;E;F;Figueirense;2;2;26-09-2020;11:00;céu limpo, 32-34°C;Orlando Scarpelli - Florianópolis/SC;Brasileiro série B 2020 - 1º Turno - 11ª Rodada;http://www.jogosdoguarani.com/2020/2620.html
26;2720;GUARANI 1 X 1 Sampaio Corrêa;E;C;Sampaio Corrêa;1;1;29-09-2020;21:30;nuvens esparsas, 22-21°C;Brinco de Ouro da Princesa - Campinas/SP;Brasileiro série B 2020 - 1º Turno - 12ª Rodada;http://www.jogosdoguarani.com/2020/2720.html
27;2820;América (MG) 0 X 0 GUARANI;E;F;América (MG);0;0;03-10-2020;11:00;nuvens esparsas, 22-21°C;Raimundo Sampaio (Arena Independência) - Belo Horizonte/MG;Brasileiro série B 2020 - 1º Turno - 13ª Rodada;http://www.jogosdoguarani.com/2020/2820.html
28;2920;AAPP 2 X 0 GUARANI;D;F;AAPP;0;2;06-10-2020;21:30;nuvens esparsas, 22-21°C;Moisés Lucarelli - Campinas/SP;Brasileiro série B 2020 - 1º Turno - 14ª Rodada;http://www.jogosdoguarani.com/2020/2920.html
29;3020;GUARANI 3 X 1 CRB;V;C;CRB;3;1;10-10-2020;16:30;nuvens esparsas, 26-22°C;Brinco de Ouro da Princesa - Campinas/SP;Brasileiro série B 2020 - 1º Turno - 15ª Rodada;http://www.jogosdoguarani.com/2020/3020.html
30;3120;GUARANI 1 X 0 Cuiabá;V;C;Cuiabá;1;0;13-10-2020;21:30;nuvens esparsas, 26-24°C;Brinco de Ouro da Princesa - Campinas/SP;Brasileiro série B 2020 - 1º Turno - 16ª Rodada;http://www.jogosdoguarani.com/2020/3120.html
31;3220;Vitória 1 X 1 GUARANI;E;F;Vitória;1;1;22-10-2020;21:30;nuvens esparsas, 26-24°C;Manoel Barradas (Barradão) - Salvador/BA;Brasileiro série B 2020 - 1º Turno - 17ª Rodada;http://www.jogosdoguarani.com/2020/3220.html
32;3320;GUARANI 2 X 1 Avaí;V;C;Avaí;2;1;25-10-2020;18:15;nublado, 23-21°C;Brinco de Ouro da Princesa - Campinas/SP;Brasileiro série B 2020 - 1º Turno - 18ª Rodada;http://www.jogosdoguarani.com/2020/3320.html
33;3420;Juventude 1 X 0 GUARANI;D;F;Juventude;0;1;01-11-2020;18:15;nublado, 23-21°C;Alfredo Jaconi - Caxias do Sul/RS;Brasileiro série B 2020 - 1º Turno - 19ª Rodada;http://www.jogosdoguarani.com/2020/3420.html
34;3520;GUARANI 2 X 1 CSA;V;C;CSA;2;1;06-11-2020;19:15;nuvens esparsas, 23-18°C;Brinco de Ouro da Princesa - Campinas/SP;Brasileiro série B 2020 - 2º Turno - 1ª Rodada;http://www.jogosdoguarani.com/2020/3520.html
35;3620;Cruzeiro 3 X 3 GUARANI;E;F;Cruzeiro;3;3;09-11-2020;20:00;nuvens esparsas, 23-18°C;Magalhães Pinto (Mineirão) - Belo Horizonte/MG;Brasileiro série B 2020 - 2º Turno - 2ª Rodada;http://www.jogosdoguarani.com/2020/3620.html
36;3720;GUARANI 2 X 1 Botafogo (Rib. Preto);V;C;Botafogo (Rib. Preto);2;1;20-11-2020;19:15;nuvens esparsas, 21-19°C;Brinco de Ouro da Princesa - Campinas/SP;Brasileiro série B 2020 - 2º Turno - 3ª Rodada;http://www.jogosdoguarani.com/2020/3720.html
37;3820;Paraná 1 X 2 GUARANI;V;F;Paraná;2;1;24-11-2020;16:30;nuvens esparsas, 21-19°C;Durival Britto e Silva (Vila Capanema) - Curitiba/PR;Brasileiro série B 2020 - 2º Turno - 4ª Rodada;http://www.jogosdoguarani.com/2020/3820.html
38;3920;GUARANI 2 X 0 Chapecoense;V;C;Chapecoense;2;0;28-11-2020;21:00;nuvens esparsas, 21-19°C;Brinco de Ouro da Princesa - Campinas/SP;Brasileiro série B 2020 - 2º Turno - 5ª Rodada;http://www.jogosdoguarani.com/2020/3920.html
39;4020;Náutico 2 X 0 GUARANI;D;F;Náutico;0;2;01-12-2020;19:15;nuvens esparsas, 21-19°C;Eládio de Barros Carvalho (Aflitos) - Recife/PE;Brasileiro série B 2020 - 2º Turno - 6ª Rodada;http://www.jogosdoguarani.com/2020/4020.html
40;4120;Oeste 0 X 1 GUARANI;V;F;Oeste;1;0;04-12-2020;16:00;nuvens esparsas, 21-19°C;Orlando Baptista Novelli (Arena Barueri) - Barueri/SP;Brasileiro série B 2020 - 2º Turno - 7ª Rodada;http://www.jogosdoguarani.com/2020/4120.html
41;4220;GUARANI 3 X 0 Operário (Ponta Grossa);V;C;Operário (Ponta Grossa);3;0;08-12-2020;16:30;parcialmente nublado, 30-25ºC;Brinco de Ouro da Princesa - Campinas/SP;Brasileiro série B 2020 - 2º Turno - 8ª Rodada;http://www.jogosdoguarani.com/2020/4220.html
42;4320;Brasil (Pelotas) 3 X 1 GUARANI;D;F;Brasil (Pelotas);1;3;13-12-2020;20:30;parcialmente nublado, 30-25ºC;Bento Mendes de Freitas - Pelotas/RS;Brasileiro série B 2020 - 2º Turno - 9ª Rodada;http://www.jogosdoguarani.com/2020/4320.html
43;4420;GUARANI 1 X 0 Confiança;V;C;Confiança;1;0;16-12-2020;19:15;nublado;Brinco de Ouro da Princesa - Campinas/SP;Brasileiro série B 2020 - 2º Turno - 10ª Rodada;http://www.jogosdoguarani.com/2020/4420.html
44;4520;GUARANI 2 X 2 Figueirense;E;C;Figueirense;2;2;20-12-2020;18:15;nublado com chuva no final, 29-24°C;Brinco de Ouro da Princesa - Campinas/SP;Brasileiro série B 2020 - 2º Turno - 11ª Rodada;http://www.jogosdoguarani.com/2020/4520.html
45;4620;Sampaio Corrêa 0 X 1 GUARANI;V;F;Sampaio Corrêa;1;0;23-12-2020;19:00;nublado com chuva no final, 29-24°C;Governador João Castelo Ribeiro Gonçalves (Castelão) - São;Brasileiro série B 2020 - 2º Turno - 12ª Rodada;http://www.jogosdoguarani.com/2020/4620.html
46;cpp20;GUARANI FUTEBOL CLUBE - Copa Paulista 2020 (Guarani B);V;C;Copa Paulista 2020 (Guarani B);FUTEBOL;-;23-12-2020;19:00;nublado com chuva no final, 29-24°C;Governador João Castelo Ribeiro Gonçalves (Castelão) - São;Brasileiro série B 2020 - 2º Turno - 12ª Rodada;http://www.jogosdoguarani.com/2020/cpp20.html
