;id;jogo;resultado;local;adversario;gol_guarani;gol_adversario;data;horario;clima;localidade;campeonato;link
0;0120;Internacional (Limeira) 0 X 4 GUARANI;V;F;Internacional (Limeira);4;0;22-01-2020 (quarta-feira);19:15;nublado com chuva no final, 29-24°C;Major José Levy Sobrinho (Limeirão) - Limeira/SP;Paulista 2020 - 1ª Fase - 1ª Rodada;http://www.jogosdoguarani.com/2020/0120.html
1;0220;GUARANI 1 X 2 Santos;D;C;Santos;1;2;27-01-2020 (segunda-feira);20:00;;Brinco de Ouro da Princesa - Campinas/SP;Paulista 2020 - 1ª Fase - 2ª Rodada;http://www.jogosdoguarani.com/2020/0220.html
2;0320;Mirassol 1 X 1 GUARANI;E;F;Mirassol;1;1;30-01-2020;21:30;;José Maria de Campos Maia - Mirassol/SP;Paulista 2020 - 1ª Fase - 3ª Rodada;http://www.jogosdoguarani.com/2020/0320.html
3;0420;GUARANI 2 X 1 Santo André;V;C;Santo André;2;1;02-02-2020 (domingo);19:00;;Brinco de Ouro da Princesa - Campinas/SP;Paulista 2020 - 1ª Fase - 4ª Rodada;http://www.jogosdoguarani.com/2020/0420.html
4;0520;Oeste 1 X 1 GUARANI;E;F;Oeste;1;1;07-02-2020 (sexta-feira);19:15;;Orlando Baptista Novelli (Arena Barueri) - Barueri/SP;Paulista 2020 - 1ª Fase - 5ª Rodada;http://www.jogosdoguarani.com/2020/0520.html
5;0620;GUARANI 1 X 1 Novorizontino;E;C;Novorizontino;1;1;15-02-2020;16:00;;Brinco de Ouro da Princesa - Campinas/SP;Paulista 2020 - 1ª Fase - 6ª Rodada;http://www.jogosdoguarani.com/2020/0620.html
6;0720;Palmeiras 1 X 0 GUARANI;D;F;Palmeiras;0;1;20-02-2020;21:30;;Arena Palestra Itália (Allianz Parque) - São Paulo/SP;Paulista 2020 - 1ª Fase - 7ª Rodada;http://www.jogosdoguarani.com/2020/0720.html
7;0820;GUARANI 0 X 0 Água Santa;E;C;Água Santa;0;0;28-02-2020 (sexta-feira);19:15;;Brinco de Ouro da Princesa - Campinas/SP;Paulista 2020 - 1ª Fase - 8ª Rodada;http://www.jogosdoguarani.com/2020/0820.html
8;0920;Ituano 0 X 2 GUARANI;V;F;Ituano;2;0;06-03-2020 (sexta-feira);21:30;;Dr. Luiz Gonzaga Novelli Júnior - Itu/SP;Paulista 2020 - 1ª Fase - 9ª Rodada;http://www.jogosdoguarani.com/2020/0920.html
9;1020;GUARANI 3 X 2 AAPP;V;C;AAPP;3;2;16-03-2020 (segunda-feira);20:00;;Brinco de Ouro da Princesa - Campinas/SP;Paulista 2020 - 1ª Fase - 10ª Rodada;http://www.jogosdoguarani.com/2020/1020.html
10;1120;Botafogo (Rib. Preto) 2 X 0 GUARANI;D;F;Botafogo (Rib. Preto);0;2;23-07-2020 (quinta-feira);20:00;;1º de Maio - São Bernardo do Campo/SP;Paulista 2020 - 1ª Fase - 11ª Rodada;http://www.jogosdoguarani.com/2020/1120.html
11;1220;GUARANI 1 X 3 S. Paulo;D;C;S. Paulo;1;3;26-07-2020 (domingo);16:00;;Urbano Caldeira (Vila Belmiro) - Santos/SP;Paulista 2020 em 3º lugar no grupo D e 8º na classificação;http://www.jogosdoguarani.com/2020/1220.html
12;1320;GUARANI 1 X 1 Ituano;E;C;Ituano;1;1;29-07-2020 (quarta-feira);17:00;;José Liberatti - Osasco/SP;Paulista 2020 - Troféu do Interior - Quarta-de-final;http://www.jogosdoguarani.com/2020/1320.html
13;1420;Internacional (Limeira) 1 X 2 GUARANI;V;F;Internacional (Limeira);2;1;01-08-2020;11:00;;Dr. Adhemar Pereira de Barros (Arena da Fonte Luminosa) -;Paulista 2020 - Troféu do Interior - Semifinal;http://www.jogosdoguarani.com/2020/1420.html
14;1520;Red Bull Bragantino 1 X 0 GUARANI;D;F;Red Bull Bragantino;0;1;04-08-2020;20:00;;Orlando Baptista Novelli (Arena Barueri) - Barueri/SP;Paulista 2020 - Troféu do Interior - Final;http://www.jogosdoguarani.com/2020/1520.html
15;1620;CSA 1 X 0 GUARANI;D;F;CSA;0;1;08-08-2020;21:00;;Rei Pelé - Maceió/AL;Brasileiro série B 2020 - 1º Turno - 1ª Rodada;http://www.jogosdoguarani.com/2020/1620.html
16;1720;GUARANI 2 X 3 Cruzeiro;D;C;Cruzeiro;2;3;11-08-2020 (terça-feira);20:30;;Brinco de Ouro da Princesa - Campinas/SP;Brasileiro série B 2020 - 1º Turno - 2ª Rodada;http://www.jogosdoguarani.com/2020/1720.html
17;1820;Botafogo (Rib. Preto) 0 X 1 GUARANI;V;F;Botafogo (Rib. Preto);1;0;15-08-2020; 11:0;;Santa Cruz - Ribeirão Preto/SP;Brasileiro série B 2020 - 1º Turno - 3ª Rodada;http://www.jogosdoguarani.com/2020/1820.html
18;1920;GUARANI 1 X 2 Paraná;D;C;Paraná;1;2;18-08-2020;21:30;nublado, 18°C;Brinco de Ouro da Princesa - Campinas/SP;Brasileiro série B 2020 - 1º Turno - 4ª Rodada;http://www.jogosdoguarani.com/2020/1920.html
19;2020;Chapecoense 2 X 0 GUARANI;D;F;Chapecoense;0;2;24-08-2020;20:00;nublado, 18°C;Arena Índio Condá - Chapecó/SC;Brasileiro série B 2020 - 1º Turno - 5ª Rodada;http://www.jogosdoguarani.com/2020/2020.html
20;2120;GUARANI 1 X 2 Náutico;D;C;Náutico;1;2;28-08-2020;21:30;;Brinco de Ouro da Princesa - Campinas/SP;Brasileiro série B 2020 - 1º Turno - 6ª Rodada;http://www.jogosdoguarani.com/2020/2120.html
21;2220;GUARANI 1 X 1 Oeste;E;C;Oeste;1;1;31-08-2020;20:00;nuvens esparsas, 21-20°C;Brinco de Ouro da Princesa - Campinas/SP;Brasileiro série B 2020 - 1º Turno - 7ª Rodada;http://www.jogosdoguarani.com/2020/2220.html
22;2320;Operário (Ponta Grossa) 1 X 2 GUARANI;V;F;Operário (Ponta Grossa);2;1;05-09-2020;19:00;nuvens esparsas, 21-20°C;Germano Ewaldo Krüger - Ponta Grossa/PR;Brasileiro série B 2020 - 1º Turno - 8ª Rodada;http://www.jogosdoguarani.com/2020/2320.html
23;2420;GUARANI 0 X 0 Brasil (Pelotas);E;C;Brasil (Pelotas);0;0;12-09-2020;11:00;céu limpo, 32-34°C;Brinco de Ouro da Princesa - Campinas/SP;Brasileiro série B 2020 - 1º Turno - 9ª Rodada;http://www.jogosdoguarani.com/2020/2420.html
24;2520;Confiança 1 X 0 GUARANI;D;F;Confiança;0;1;18-09-2020;19:15;céu limpo, 32-34°C;Lourival Baptista (Arena Batistão) - Aracaju/SE;Brasileiro série B 2020 - 1º Turno - 10ª Rodada;http://www.jogosdoguarani.com/2020/2520.html
